eugenia nitida,eugenia,nitida
orenged,eugenia,palauensis
agatelang,eugenia,palumbis
rockmyrtle,eugenia,procera
christmas cherry,eugenia,pseudopsidium
mountain stopper,eugenia,reinwardtiana
red stopper,eugenia,rhombea
serrasuela,eugenia,serrasuela
sessileleaf stopper,eugenia,sessiliflora
stopper,eugenia,spp.
stahl's stopper,eugenia,stahlii
stewardson's stopper,eugenia,stewardsonii
rebotel,eugenia,suzukii
atoto,eugenia,thompsonii
underwood's stopper,eugenia,underwoodii
surinam cherry,eugenia,uniflora
aridland stopper,eugenia,xerophytica
euodia hortensis,euodia,hortensis
kertub,euodia,nitida
beror,euodia,palawensis
euodia ponapensis,euodia,ponapensis
